식품명,대표식품명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),탄수화물(g)
케이크_티라미슈케이크,케이크,100g,290,,5.06,,
케이크_티라미스케이크 (조각),케이크,100g,334,,7.5,,
케이크_파베쇼콜라케이크,케이크,100g,259,,5.45,,22.73
케이크_파티팩고구마밀크생크림케이크,케이크,100g,246,,4.52,,
케이크_파티팩딸기레어치즈케이크,케이크,100g,283,,4.64,,
케이크_파티팩블루베리요거트생크림케이크,케이크,100g,265,,3.6,,
케이크_파티팩스트로베리초콜릿생크림케이크,케이크,100g,287,,3.83,,
케이크_파티팩아이스박스케이크,케이크,100g,339,,4.13,,
케이크_파티팩티라미수케이크,케이크,100g,299,,4.86,,
케이크_퐁당쇼콜라바움쿠헨케이크,케이크,100g,450,,6.9,,
케이크_플레인 치즈 스틱케이크,케이크,100g,356,,6.67,,
케이크_플레인바스크치즈케이크,케이크,100g,353,,5.26,,
케이크_피넛 크림 바나나케이크,케이크,100g,396,,4.17,,
케이크_필라델피아 치즈케이크,케이크,100g,340,,6.6,,
케이크_한라산 녹차 치즈 바스크케이크,케이크,100g,352,,5.52,,
케이크_해피레인보우케이크,케이크,100g,359,,4,,
케이크_허니케이크,케이크,100g,467,,7.89,,
케이크_헤이즐넛마스카포네치즈케이크,케이크,100g,338,,4.06,,
케이크_호두 당근케이크,케이크,100g,449,,7.14,,
케이크_화이트 생크림케이크 (조각),케이크,100g,262,,3.81,,
케이크_화이트 생크림케이크 (홀),케이크,100g,260,,2.95,,
케이크_화이트 치즈 무스케이크,케이크,100g,363,,5.08,,
케이크_화이트롤케이크,케이크,100g,321,,6,,
케이크_화이트모찌롤케이크,케이크,100g,332,,1.82,,
케이크_화이트미니롤,케이크,100g,344,,6,,
케이크_화이트바닐라빈무스케이크 (조각),케이크,100g,292,,3.85,,
케이크_화이트생크림케이크 1호,케이크,100g,251,,3,,
케이크_화이트생크림케이크 2호,케이크,100g,292,,3,,
케이크_화이트생크림케이크 3호,케이크,100g,291,,3,,
케이크_화이트포레스트생크림케이크,케이크,100g,280,,3.61,,
케이크_흑임자 갸또 쇼콜라케이크,케이크,100g,321,,4.96,,
케이크_흑임자 크림케이크,케이크,100g,385,,5,,
케이크_히든하트레드벨벳케이크,케이크,100g,285,,3,,
크로와상_AOP 버터 크라상,크로와상,100g,440,,7.14,,
크로와상_AOP버터 프렌치 크루아상,크로와상,100g,354,,6.15,,36.92
크로와상_갈릭대파,크로와상,100g,415,,9.09,,
크로와상_갈릭크림치즈,크로와상,100g,443,,6.67,,
크로와상_거문 오름 크루아상,크로와상,100g,477,,8.54,,
크로와상_고구마크로,크로와상,100g,341,,7.32,,
크로와상_꿀꿀바,크로와상,100g,503,,6.67,,
크로와상_누네딸기,크로와상,100g,383,,5.56,,
크로와상_누텔라,크로와상,100g,508,,8,,
크로와상_다크 초콜릿 크루아상,크로와상,100g,371,,6.25,,
크로와상_딸기우유,크로와상,100g,441,,6.25,,
크로와상_레몬글레이즈,크로와상,100g,450,,9.09,,
크로와상_로띠크로,크로와상,100g,388,,8.33,,
크로와상_리얼버터 오리지널,크로와상,100g,490,,10,,
크로와상_마약옥수수,크로와상,100g,324,,7.32,,
크로와상_말차,크로와상,100g,380,,8.57,,
크로와상_메이플,크로와상,100g,477,,9.09,,
크로와상_미니크라상,크로와상,100g,417,,5.56,,
크로와상_미니크로와상,크로와상,100g,369,,6.25,,
크로와상_민트초코,크로와상,100g,426,,5.88,,
크로와상_버터크루아상,크로와상,100g,483,,10.5,,
크로와상_블루베리아몬드크루아상,크로와상,100g,259,,6.36,,
크로와상_블루베리크로,크로와상,100g,356,,5.26,,
크로와상_비스킷크림,크로와상,100g,407,,7.32,,
크로와상_사과크로,크로와상,100g,377,,5.26,,
크로와상_산딸기크로,크로와상,100g,353,,5.26,,
크로와상_생크림미니크로와상,크로와상,100g,312,,3.85,,
크로와상_생크림,크로와상,100g,557,,6.67,,
크로와상_슈크림,크로와상,100g,380,,8.57,,
크로와상_슈크림크로,크로와상,100g,318,,5.26,,
크로와상_스노우미니크라상,크로와상,100g,440,,8,,
크로와상_스위트포테이토크로플,크로와상,100g,436,,5.56,,
크로와상_슬라이스햄치즈크로,크로와상,100g,391,,9.76,,
크로와상_아몬드 크루아상,크로와상,100g,482,,10.8,,
크로와상_아몬드,크로와상,100g,589,,7.14,,
크로와상_앙버터,크로와상,100g,445,,5,,
크로와상_앙버터크로플,크로와상,100g,474,,4.76,,
크로와상_에그 포테이토 크루아상,크로와상,100g,311,,6.92,20,25.38
크로와상_에그베이컨,크로와상,100g,334,,10.34,,
크로와상_오레오,크로와상,100g,431,,6.25,,
크로와상_오리지널생크림크라상,크로와상,100g,429,,6.41,,
크로와상_오리지널크라상,크로와상,100g,440,,6.9,,
크로와상_올래 미니 크루아상,크로와상,100g,525,,5,,
크로와상_인절미,크로와상,100g,429,,5.71,,
크로와상_정통크로와상,크로와상,100g,433,,6.12,,
크로와상_초코생크림,크로와상,100g,475,,5.56,,
크로와상_초코츄러스,크로와상,100g,504,,8,,
크로와상_초코크런치,크로와상,100g,510,,10,,
크로와상_초코트위스트크로,크로와상,100g,425,,8,,
크로와상_커스타드 크루아상,크로와상,100g,310,,6.67,,
크로와상_코코넛카야크루아상,크로와상,100g,305,,6,,
크로와상_크랜베리크로,크로와상,100g,417,,6.25,,
크로와상_크루아상,크로와상,100g,433,,6.67,,
크로와상_크루아상,크로와상,100g,361,,7.41,,
크로와상_크림치즈,크로와상,100g,434,,5.71,,
크로와상_토피넛 꽈루아상,크로와상,100g,332,,5.98,,
크로와상_통팥크로,크로와상,100g,360,,7.32,,
크로와상_티라미수,크로와상,100g,453,,6.67,,
크로와상_팥생크림,크로와상,100g,446,,5.71,,
크로와상_페페로니크로플,크로와상,100g,426,,11.11,,
크로와상_플레인 꽈루아상,크로와상,100g,397,,8.2,,
크로와상_해시브라운크로플,크로와상,100g,808,,40,,
크로와상_허니 고르곤졸라,크로와상,100g,600,,16.67,,
크로와상_헤이즐넛초코,크로와상,100g,500,,7.14,,
크로와상_후랑크 소세지,크로와상,100g,306,,8,,
크로와상_흑당크로플,크로와상,100g,476,,8,,
고로케_NEW김치고로케,크로켓(고로케),100g,288,,6.82,,
고로케_감자고로케,크로켓(고로케),100g,304,,5,,
고로케_게살크림고로케,크로켓(고로케),100g,333,,7.78,,
고로케_고구마고로케,크로켓(고로케),100g,345,,6.67,,
고로케_까르보나라까망고로케,크로켓(고로케),100g,338,,6.67,,
고로케_꽃맛살고로케,크로켓(고로케),100g,364,,6.36,,
고로케_납작김치고로전,크로켓(고로케),100g,304,,6.4,,
고로케_단호박고로케,크로켓(고로케),100g,344,,6.67,,
고로케_돼지갈비고로케,크로켓(고로케),100g,276,,9.52,,
고로케_매콤아삭고로케,크로켓(고로케),100g,335,,7,,
고로케_매콤치킨고로케,크로켓(고로케),100g,324,,11.11,,
고로케_매콤치킨커리고로케,크로켓(고로케),100g,259,,8.33,,
고로케_명품잡채고로케,크로켓(고로케),100g,271,,5.83,,
고로케_명품카레고로케,크로켓(고로케),100g,316,,7.02,,
고로케_바삭쫄깃한 로제품은달걀,크로켓(고로케),100g,210,,8,,
고로케_슈크림고로케,크로켓(고로케),100g,335,,6.67,,
고로케_야채감자고로케,크로켓(고로케),100g,304,,5.83,,
고로케_야채고로케,크로켓(고로케),100g,294,,7.78,,
고로케_어니언크림치즈고로케,크로켓(고로케),100g,338,,7.69,,
고로케_옥수수치즈고로케,크로켓(고로케),100g,320,,5.56,,
고로케_이탈리안고로케,크로켓(고로케),100g,270,,8,,
고로케_잡채고로케,크로켓(고로케),100g,312,,7.41,,
크림빵_초콜릿크로캉롱슈,크림빵,100g,286,,4.4,,
고로케_중화잡채고로케,크로켓(고로케),100g,369,,7.69,,
고로케_추억의사라다고로케,크로켓(고로케),100g,283,,4.72,,
고로케_칠리꽃맛살고로케,크로켓(고로케),100g,345,,7,,
고로케_크림치즈고로케,크로켓(고로케),100g,380,,7.5,,
고로케_피자고로케,크로켓(고로케),100g,293,,7.78,,
크림빵_고소한 흑임자크림빵,크림빵,100g,328,,5.97,,
크림빵_골든크림메론빵,크림빵,100g,320,,5,,
크림빵_까까웨뜨,크림빵,100g,443,,7.59,,
크림빵_나눠먹는크림빵,크림빵,100g,428,,7,,
크림빵_단팥크림코팡,크림빵,100g,271,,5.88,,
크림빵_동글동글순우유롤,크림빵,100g,361,,7.54,,
크림빵_딸기샌드케익,크림빵,100g,252,,4,,
크림빵_딸기흑임자크림빵,크림빵,100g,286,,5.19,,
크림빵_땅콩크림빵,크림빵,100g,431,,8.75,,
크림빵_리얼초코소라빵,크림빵,100g,294,,7.35,,
크림빵_매직모카크림빵,크림빵,100g,412,,6.47,,
크림빵_민트초코 생크림 브레드,크림빵,100g,309,,4.15,,
크림빵_밀크크림브레드,크림빵,100g,221,,5.26,,
크림빵_바닐라슈,크림빵,100g,307,,6.67,,
크림빵_바닐라크로캉롱슈,크림빵,100g,314,,4.65,,
크림빵_부드러운모카크림빵,크림빵,100g,407,,5.71,,
크림빵_부드러운후레쉬크림샌드빵,크림빵,100g,385,,6.2,,
크림빵_브리오슈슈크레,크림빵,100g,740,,8,,
크림빵_생크림빵,크림빵,100g,310,,7.14,,
"크림빵_순,딸기산도",크림빵,100g,265,,4.9,,
크림빵_순진우유크림빵,크림빵,100g,350,,8.57,,
크림빵_슈크림빵,크림빵,100g,312,,7.06,,
크림빵_슈크림빵,크림빵,100g,274,,7.14,,
크림빵_스노우쿠키슈,크림빵,100g,320,,6,,
크림빵_스마일슈크림빵,크림빵,100g,300,,6.94,,
크림빵_시원하게 즐기는 메론빵,크림빵,100g,327,,5.45,,
크림빵_아몬드슈,크림빵,100g,277,,6.67,,
크림빵_아이스허니와앙슈,크림빵,100g,267,,5.33,,
크림빵_어니언크런치,크림빵,100g,248,,8.7,,
크림빵_어둠의다크초코통통,크림빵,100g,400,,6.67,,
크림빵_연유 밀크모닝,크림빵,100g,333,,6.06,,
크림빵_요구르트 슈스틱,크림빵,100g,275,,5,20,21.67
크림빵_우유크림슈,크림빵,100g,304,,4.35,,
크림빵_진한쌀크림빵,크림빵,100g,325,,5.59,,
크림빵_초코가나슈크림빵,크림빵,100g,299,,7.79,,
크림빵_초코크로칸슈,크림빵,100g,277,,3.64,,
크림빵_초코크림아몬드볼,크림빵,100g,400,,8.75,,
크림빵_촉촉브래드,크림빵,100g,296,,7.27,,
크림빵_치즈크림팡도르,크림빵,100g,326,,6.32,,
크림빵_카스타드롤,크림빵,100g,292,,7.69,,
크림빵_카페모카크림빵 (대),크림빵,100g,403,,6.56,,
크림빵_카페모카크림빵 (소),크림빵,100g,393,,6.67,,
크림빵_크리미 크로칸 슈,크림빵,100g,272,,3.64,6.36,
크림빵_크리미크로칸슈,크림빵,100g,272,,3.64,,
크림빵_크림듬뿍초코크림아몬드볼,크림빵,100g,400,,7.78,,
크림빵_크림코르네,크림빵,100g,308,,3.85,,
크림빵_티라미수 크림 데니쉬,크림빵,100g,345,,4.55,,
크림빵_후레쉬연유크림,크림빵,100g,454,,9.52,,
크림빵_후레쉬연유크림빵,크림빵,100g,417,,8,,
크림빵_후레쉬크림빵,크림빵,100g,428,,6.58,,
크림빵_후레쉬크림빵,크림빵,100g,411,,7.59,,
크림빵_후레쉬크림샌드빵 (소),크림빵,100g,364,,7.2,,
크림빵_후레쉬크림샌드빵,크림빵,100g,366,,7.2,,
타르트_까망베르치즈 타르트,타르트,100g,314,,6.47,,
타르트_뉴욕치즈타르트,타르트,100g,310,,6,,
타르트_돔 피칸 타르트,타르트,100g,435,,6,,
타르트_리얼 다크 타르트,타르트,100g,429,,6.67,,
타르트_무화과타르트,타르트,100g,476,,8.98,,
타르트_미니 타르트 4종 세트,타르트,100g,446,,8.53,,
타르트_밀당 에그 타르트,타르트,100g,400,,4.21,,
타르트_소프트에그타르트,타르트,100g,330,,6,,
타르트_씨앗타르트,타르트,100g,417,,11.71,,
타르트_아몬드타르트,타르트,100g,426,,11.71,,
타르트_에그 타르트,타르트,100g,270,,4,,
타르트_에그타르트,타르트,100g,297,,5.9,,
타르트_에그타르트,타르트,100g,264,,6,,
타르트_에그타르트,타르트,100g,290,,4,,
타르트_크림치즈 타르트,타르트,100g,433,,7.5,,
타르트_호두듬뿍타르트,타르트,100g,422,,6.67,,
타르트_호두타르트,타르트,100g,426,,11.43,,
토스트_갈릭스틱토스트,토스트,100g,378,,4.88,,
토스트_갈릭치즈토스트,토스트,100g,407,,7.14,,
토스트_구운햄치즈토스트,토스트,100g,304,,11,,
토스트_더블 버터 카야 토스트,토스트,100g,335,,4.74,,
토스트_마늘토스트,토스트,100g,306,,7.27,,
토스트_몬테크리스토 (H),토스트,100g,262,,8,,
토스트_베이컨 치즈 토스트,토스트,100g,367,,12.73,,
토스트_스위트토스트,토스트,100g,419,,6.45,,
토스트_시나몬모닝토스트,토스트,100g,385,,7,,
토스트_오믈렛토스트,토스트,100g,269,,11.54,,
토스트_인절미 카야 토스트,토스트,100g,261,,5.43,,
토스트_인절미 토스트,토스트,100g,342,,8.99,,
토스트_자색 고구마 카야 토스트,토스트,100g,256,,5.83,,
토스트_촉촉한 허니버터토스트,토스트,100g,380,,4.57,,
토스트_촉촉한햄치즈토스트,토스트,100g,253,,10,,
토스트_카라멜버터토스트,토스트,100g,332,,6.84,,
토스트_카야 토스트,토스트,100g,315,,7.55,,
토스트_통버터 프렌치 토스트,토스트,100g,289,,6.32,,
토스트_트리플 치즈 카야 토스트,토스트,100g,273,,5.43,,
토스트_페퍼로니피자토스트,토스트,100g,282,,12.35,,
토스트_햄 치즈 프렌치 토스트,토스트,100g,312,,10,17.5,28.13
토스트_햄치즈 스크램블 토스트,토스트,100g,290,,11,,
토스트_허니버터토스트,토스트,100g,335,,6,,
파이/만주_미니 리프 파이,파이/만주,100g,505,,4.76,,
파이/만주_베이컨 치즈 팟파이,파이/만주,100g,269,,9.38,,
파이/만주_블루베리 에그디쉬,파이/만주,100g,264,,5.54,,
파이/만주_소시지&올리브 미니 파이,파이/만주,100g,436,,8.8,,
파이/만주_이탈리안 에그디쉬,파이/만주,100g,296,,7.91,,
파이/만주_주상절리 파이,파이/만주,100g,532,,7.37,,
파이/만주_치킨 팟파이,파이/만주,100g,253,,15.88,,
파이/만주_플레인 에그디쉬,파이/만주,100g,325,,6.86,,
파이/만주_하트 파이,파이/만주,100g,485,,9.38,,
파이/만쥬_딸기잼롤파이,파이/만주,100g,400,,4.5,,
파이/만쥬_로스팅호두로더고소한호두파이 (조각),파이/만주,100g,425,,6.67,,
파이/만쥬_리프파이,파이/만주,100g,493,,6.67,,
파이/만쥬_미니고구마파이,파이/만주,100g,374,,7.89,,
파이/만쥬_미니딸기필링파이,파이/만주,100g,397,,3.03,,
파이/만쥬_미니애플파이,파이/만주,100g,346,,5.41,,
파이/만쥬_미니크림치즈파이,파이/만주,100g,400,,6.06,,
파이/만쥬_뽀미파이 애플파이,파이/만주,100g,347,,6.76,,
파이/만쥬_생크림 가득 파이,파이/만주,100g,358,,5.29,,
파이/만쥬_스노우 화이트 애플 파이,파이/만주,100g,290,,3.33,,
파이/만쥬_스틱파이,파이/만주,100g,476,,6.32,,
파이/만쥬_연유슈크림애플파이,파이/만주,100g,332,,4,,
파이/만쥬_크림치즈롤파이,파이/만주,100g,412,,5.29,,
파이/만쥬_클래식애플파이,파이/만주,100g,313,,4,,
파이/만쥬_파이만주,파이/만주,100g,351,,6.6,,
파이/만쥬_파이콘,파이/만주,100g,514,,6.8,,
파이/만쥬_호두파이,파이/만주,100g,380,,6,,
팥빵_단팥빵,팥빵,100g,308,,10.53,,
팥빵_단팥빵,팥빵,100g,314,,9.3,,
팥빵_단팥빵,팥빵,100g,274,,7.8,,
팥빵_단팥빵,팥빵,100g,250,,7.27,,
팥빵_단팥앙금롤브레드,팥빵,100g,330,,8.93,,
팥빵_미강빵,팥빵,100g,307,,6.67,,
팥빵_생크림 듬뿍이 단팥빵,팥빵,100g,280,,7.37,,
팥빵_생크림단팥빵,팥빵,100g,271,,6.2,,
팥빵_연유크림만난단팥빵,팥빵,100g,324,,8.57,,
팥빵_완전소중한단팥빵,팥빵,100g,307,,7.41,,
팥빵_우리쌀앙버터브레드 (H),팥빵,100g,252,,3.45,,
팥빵_쫀득한 단팥빵,팥빵,100g,294,,6.9,,
팥빵_호두가오독오독씹히는단팥빵,팥빵,100g,407,,10.28,,
팥빵_호두과자,팥빵,100g,258,,15,,
팥빵_호두과자,팥빵,100g,290,,7.5,,
팥빵_호두단팥빵,팥빵,100g,261,,6.96,,
팥빵_호밀찰보리빵,팥빵,100g,332,,5.5,,
페이스트리_64겹골든페스츄리,페이스트리,100g,385,,7,,
페이스트리_64겹페스트리,페이스트리,100g,387,,7,,
페이스트리_갈릭페스트리,페이스트리,100g,351,,8,,
페이스트리_낙엽페스트리,페이스트리,100g,348,,8.33,,
페이스트리_넛츠크림치즈크럼블페이스트리,페이스트리,100g,555,,7,,
페이스트리_딸기탑 마마츄리,페이스트리,100g,241,,3.91,,
페이스트리_라즈베리 퐁당 마마츄리,페이스트리,100g,269,,4.13,,
페이스트리_마카다미아 데니쉬,페이스트리,100g,394,,5.88,,
페이스트리_몽블랑 데니쉬,페이스트리,100g,389,,5.93,,
페이스트리_몽블랑 플레인,페이스트리,100g,399,,6.7,,
페이스트리_미니초코칩트위스트,페이스트리,100g,409,,4.55,,
페이스트리_밤패스트리,페이스트리,100g,361,,6.17,,
페이스트리_베이컨 포테이토 데니쉬,페이스트리,100g,442,,23.85,,
페이스트리_베이컨&치즈패스트리,페이스트리,100g,424,,8.86,,
페이스트리_블루베리 퐁당 마마츄리,페이스트리,100g,266,,4.04,,
페이스트리_블루베리품은 소보로 페스트리,페이스트리,100g,441,,7,,
페이스트리_비벼먹는 페스츄리 딸기,페이스트리,100g,261,,4.71,,
페이스트리_비벼먹는 페스츄리 초콜릿,페이스트리,100g,398,,6.99,,
페이스트리_뺑 오 쇼콜라,페이스트리,100g,421,,7.14,,
페이스트리_뺑오쇼콜라,페이스트리,100g,457,,7.3,,
페이스트리_생크림소보루페스트리,페이스트리,100g,341,,6,,
페이스트리_소세지 페스츄리,페이스트리,100g,314,,11.67,,
페이스트리_소시지 양파 페이스트리,페이스트리,100g,316,,10.5,,
페이스트리_소시지페스트리,페이스트리,100g,356,,11,,
페이스트리_슈크림데니쉬,페이스트리,100g,358,,8,,
페이스트리_스위트갈릭고구마페스츄리,페이스트리,100g,317,,5.56,,
페이스트리_스크류소시지,페이스트리,100g,392,,10.97,,
페이스트리_시나몬페스트리,페이스트리,100g,411,,12,,
페이스트리_에그베이컨페이스트리,페이스트리,100g,365,,12.31,,
페이스트리_오름 치즈 케이츄리,페이스트리,100g,399,,6.76,,
페이스트리_쟌슨빌소시지페이스트리,페이스트리,100g,275,,9,,
페이스트리_정통소시지데니쉬,페이스트리,100g,351,,12.63,,
페이스트리_쫀득한페스트리,페이스트리,100g,327,,9.33,,
페이스트리_초코 퐁당 마마츄리,페이스트리,100g,327,,4.83,,
페이스트리_치즈소시지페스츄리,페이스트리,100g,355,,10.91,,
페이스트리_콘 치즈 데니쉬,페이스트리,100g,476,,8.15,,
페이스트리_쿠인아망,페이스트리,100g,286,,8.24,,
페이스트리_퀸아망,페이스트리,100g,415,,4,,
페이스트리_팥절미 페이스트리,페이스트리,100g,381,,11.72,,
페이스트리_푀이테쇼콜라,페이스트리,100g,350,,6.67,,
페이스트리_햄감자말이페스트리,페이스트리,100g,298,,11.58,,
페이스트리_허니볼,페이스트리,100g,277,,6,,
페이스트리_허니치즈퐁당마마츄리,페이스트리,100g,319,,10.96,,
페이스트리_현무암돌빵,페이스트리,100g,421,,6.56,,
페이스트리_회오리롱소시지패스트리,페이스트리,100g,320,,10.31,,
프레즐_갈릭프레즐,프레즐,100g,315,,7.41,,
프레즐_고구마 크림치즈 프레즐,프레즐,100g,292,,7.32,9.76,335.12
프레즐_고구마 프레즐,프레즐,100g,268,,12.74,6.6,40.09
프레즐_도그프레즐,프레즐,100g,167,,11.11,7.41,18.52
프레즐_버터프레첼,프레즐,100g,350,,7.4,,
프레즐_불고기 프레즐,프레즐,100g,267,,13.53,8.21,34.78
프레즐_시나몬슈가스틱,프레즐,100g,305,,5.81,,
프레즐_시나몬슈가프레즐,프레즐,100g,312,,6.42,,
프레즐_아몬드스틱,프레즐,100g,338,,7.24,,
프레즐_아몬드크림치즈스틱,프레즐,100g,298,,6.67,,
프레즐_아몬드프레즐,프레즐,100g,330,,7.14,,
프레즐_어니언프레즐,프레즐,100g,305,,7.27,,
프레즐_오곡프레즐,프레즐,100g,308,,8.33,,
프레즐_오리지날프레즐,프레즐,100g,321,,7.62,,
프레즐_오리지널 프레즐,프레즐,100g,268,,11.11,2.56,52.14
프레즐_오리지널스틱,프레즐,100g,312,,7.59,,
프레즐_초코 프레즐,프레즐,100g,407,,6.4,,
프레즐_커스타드 프레즐,프레즐,100g,378,,7.2,,
프레즐_콘 샐러드 프레즐,프레즐,100g,215,,10.19,5.09,32.41
프레즐_콘 프레즐,프레즐,100g,242,,12.98,6.73,32.21
프레즐_크림치즈 프레즐,프레즐,100g,149,,10,,
프레즐_크림치즈 프레즐,프레즐,100g,272,,9.8,6.54,43.79
프레즐_크림치즈 프레즐,프레즐,100g,315,,7,,
프레즐_크림치즈 프렛즐,프레즐,100g,253,,42.42,,
프레즐_크림치즈스틱,프레즐,100g,297,,7.55,,
프레즐_크림치즈프레즐,프레즐,100g,253,,8.08,,
프레즐_파마산허브프레즐,프레즐,100g,312,,7.34,,
프레즐_페퍼로니 프레즐,프레즐,100g,216,,13.33,7.62,23.81
프레즐_페퍼로니프레즐,프레즐,100g,340,,13.57,,
프레즐_프레즐,프레즐,100g,253,,7.07,,
프레즐_플레인 프레즐,프레즐,100g,268,,11.11,2.56,50.43
프레즐_할라피뇨 도그 프레즐,프레즐,100g,243,,10.34,10.34,26.9
프레즐_햄치즈프레첼,프레즐,100g,285,,11.82,,
피자_ 샘스테이크피자 골드스윗 (R),피자,100g,279,,14.56,,
피자_ 샘스테이크피자 석쇠 (L),피자,100g,278,,14.73,,
피자_1988피자 (L),피자,100g,255,,10.9,,
피자_1992브로피자 (L),피자,100g,277,,13,,
피자_2in1(한우불고기+밤스위트골드)피자  (L),피자,100g,272,,16.39,,
피자_2in1(한우불고기+밤스위트골드)피자 (F),피자,100g,258,,16.46,,
피자_2in1(한우불고기+밤스위트골드)피자 (L),피자,100g,272,,16.39,,
피자_2in1(한우불고기+밤스위트골드)피자 (R),피자,100g,279,,17.13,,
피자_4색피자 (L),피자,100g,342,,21.75,,
피자_4색피자 (R),피자,100g,271,,17.2,,
피자_7번가스페셜피자 골드스윗 (L),피자,100g,266,,13.25,,
피자_7번가스페셜피자 골드스윗 (R),피자,100g,265,,13.27,,
피자_7번가스페셜피자 리코타링 (L),피자,100g,266,,13.57,,
피자_7번가스페셜피자 리코타링 (R),피자,100g,267,,13.33,,
피자_7번가스페셜피자 석쇠 (L),피자,100g,261,,13.39,,
피자_7번가스페셜피자 석쇠 (R),피자,100g,261,,13.61,,
피자_7번가스페셜피자 씬도우 (L),피자,100g,278,,10.53,,
피자_7번가스페셜피자 씬도우 (R),피자,100g,264,,11.24,,
피자_7번가스페셜피자 치즈링 (L),피자,100g,259,,14.08,,
피자_7번가스페셜피자 치즈링 (R),피자,100g,257,,14.81,,
피자_8비트피자 오리지널 (M),피자,100g,275,,15.38,,
피자_BBQ리얼시카고피자 (L),피자,100g,255,,12.02,,
피자_BBQ불고기피자 마니아 에어도우 (L),피자,100g,256,,12.29,,
피자_BBQ불고기피자 마니아 에어도우 (M),피자,100g,250,,12.65,,
피자_BBQ불고기피자 마니아 파마산엣지 (L),피자,100g,247,,12.54,,
피자_BBQ불고기피자 마니아 파마산엣지 (M),피자,100g,250,,12.95,,
피자_가든스페셜피자 (F),피자,100g,214,,8.4,,
피자_가든스페셜피자 (L),피자,100g,213,,8.21,,
피자_가든스페셜피자 (P),피자,100g,214,,8.27,,
피자_가든스페셜피자 (R),피자,100g,214,,8.39,,
피자_갈릭 버터 쉬림프피자 리치골드 (L),피자,100g,244,,11.34,,
피자_갈릭 버터 쉬림프피자 리치골드 (M),피자,100g,274,,12.72,,
피자_갈릭 버터 쉬림프피자 치즈크러스트 (L),피자,100g,241,,11.83,,
피자_갈릭 버터 쉬림프피자치즈크러스트 (M),피자,100g,242,,12.21,,
피자_갈릭베이컨체다치즈피자 (L),피자,100g,188,,12.41,,
피자_갈릭베이컨포테이토피자 (L),피자,100g,245,,9.8,,
피자_갈릭비프스테이크피자 (L),피자,100g,208,,11.05,,
피자_갈릭비프스테이크피자 (M),피자,100g,197,,11.13,,
피자_갈릭쉬림프피자 (L),피자,100g,88,,4.25,,
피자_갈릭쉬림프피자 오리지널 (M),피자,100g,262,,11.76,,
피자_갈릭스테이크쉬림프피자 (L),피자,100g,147,,8,,
피자_갈릭스테이크피자 (L),피자,100g,276,,15,,
피자_갈릭스테이크피자 오리지널 (M),피자,100g,258,,10.68,,
피자_갈릭페퍼스테이크피자 (F),피자,100g,267,,12.4,,
피자_갈릭페퍼스테이크피자 (L),피자,100g,267,,11.98,,
피자_갈릭페퍼스테이크피자 (P),피자,100g,265,,12.12,,
피자_갈릭홀릭피자 (L),피자,100g,286,,15.13,,
피자_갈릭홀릭피자 (R),피자,100g,285,,15.18,,
피자_갈비앤치킨피자 씬 (L),피자,100g,207,,10,,
피자_갈비앤치킨피자 씬 (R),피자,100g,206,,9.57,,
피자_감자베이컨피자 (L),피자,100g,285,,6.31,,
피자_감자별한웅큼피자 (L),피자,100g,248,,11.28,,
피자_감자피자,피자,100g,264,,12.03,,
피자_강냉이털어피자 (L),피자,100g,268,,14,,
피자_걱정말아요허니피자 (L),피자,100g,272,,12.91,,
피자_고객의실수피자 (L),피자,100g,259,,14.29,,
피자_고객의실수피자 (R),피자,100g,260,,14.39,,
피자_고구마랍스터볼크림피자 (L),피자,100g,266,,14,,
피자_고구마무스베이컨피자 (L),피자,100g,231,,11,,
피자_고구마무스피자 (L),피자,100g,222,,10.58,,
피자_고구마무스피자 (L),피자,100g,216,,9.07,,
피자_고구마무스피자 (M),피자,100g,212,,9.45,,
피자_고구마베이컨피자 (L),피자,100g,248,,11.98,,
피자_고구마베이컨피자 (L),피자,100g,238,,6.65,,
피자_고구마스위트피자 (L),피자,100g,277,,9.33,,
피자_고구마파인애플피자 (L),피자,100g,250,,12.43,,
피자_고구마피자 (L),피자,100g,252,,11.74,,
피자_고구마피자 (L),피자,100g,252,,9.66,,
피자_고구마피자 (L),피자,100g,252,,12.55,,
피자_고구마피자 (L),피자,100g,225,,9.28,,
피자_고구마피자 (L),피자,100g,229,,12,,
피자_고구마피자 (L),피자,100g,252,,8.57,,
피자_고구마피자 (L),피자,100g,292,,6,,
피자_고구마피자 (L),피자,100g,307,,8.27,,
피자_고구마피자 (L),피자,100g,271,,9.79,,
피자_고구마피자 (M),피자,100g,229,,7.98,,
피자_고구마피자 (R),피자,100g,253,,7.69,,
피자_고구마피자 (XL),피자,100g,347,,23.8,,
피자_고구마피자 고구마피자 크러스트 (L),피자,100g,232,,10.07,,
피자_고구마피자 고구마피자 크러스트 (R),피자,100g,235,,9.26,,
피자_고구마피자 골드스윗 (L),피자,100g,263,,12.21,,
피자_고구마피자 골드스윗 (R),피자,100g,262,,12,,
피자_고구마피자 라이스골드 (F),피자,100g,240,,13.76,,
피자_고구마피자 라이스골드 (L),피자,100g,254,,13.62,,
피자_고구마피자 라이스골드 (R),피자,100g,261,,14.25,,
피자_고구마피자 라이스바이트 (F),피자,100g,248,,12.91,,
피자_고구마피자 라이스바이트 (L),피자,100g,257,,13.41,,
