번호,음식_링크,음식_이름,이미지_링크,원재료 및 원산지,칼로리(kcal),탄수화물(g),단백질(g),총 지방(g)
154,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2215,순한죽 사골쇠고기죽,https://ottogi.co.kr/pds/product/2021-04-06_417305220.jpg,"정제수,멥쌀(국산),쇠고기(뉴질랜드산),쥬키니호박(국산),표고버섯,다시마엑기스,참기름,당근,파,사골엑기스(뉴질랜드산),밀크칼슘,옥수수유,마늘,꽃소금,후추분",135,22,4,3.5
155,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2216,순한죽 밤단호박죽,https://ottogi.co.kr/pds/product/2021-04-06_417305220[1].jpg,"정제수,단호박(중국산),올리고당,감로자다이스(밤:중국산),쌀가루(국산),찹쌀가루,팥,밀크칼슘,꽃소금,난각분말",190,42,2,1.3
156,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2217,순한죽 뿌리채소죽,https://ottogi.co.kr/pds/product/2021-04-06_417305220[2].jpg,"정제수,멥쌀(국산),연근(국산),감자(미국산),우엉,무,당근,다시마엑기스,참기름,양파,파,바지락엑기스,밀크칼슘,마늘,꽃소금,후추분",140,25,2,3.5
157,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2218,유산슬죽,https://ottogi.co.kr/pds/product/2021-04-05_203457571[1].jpg,"정제수,멥쌀(국산),돼지고기(국산),오징어(페루산),찹쌀,표고버섯,팽이버섯,양송이슬라이스,이금기치킨파우더,죽순채,옥수수유,청주,참기름,불맛향미유,양조간장,굴소스,치킨엑기스에스,목이버섯,향미증진제,백후추분,생강,건조링고추,난각분말,꽃소금,토코페롤(혼합형)",280,37,10,10
158,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2219,이탈리안미네스트로네(상온) 270G,https://ottogi.co.kr/pds/product/2021-04-05_203459811[1].jpg,"정제수, 양파(국산), 감자(국산), 당근(중국산), 다이스토마토(미국산:토마토,토마토주스,구연산,염화칼슘), 토마토퓨레(미국산:토마토,토마토퓨레,정제소금,구연산), 셀러리(국산), 쥬키니(국산), 양배추(국산), 병아리콩, 카놀라유, 젖산칼슘, 맛베이스, 양파맛분말, 올리고당, 향미유, 정제소금, 바질, 시금치(국산), 파프리카추출색소",110,17,3,3.3
159,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2220,프레스코 헝가리안비프굴라쉬(상온) 270G,https://ottogi.co.kr/pds/product/2022-01-21_122632952[1].jpg,"정제수, 양배추(국산), 감자1(국산), 쇠고기(호주산), 콘센트레이티드크러쉬드토마토(미국산), 당근(중국산), 볶은양파(양파:국산), 감자2, 파프리카(국산), 양지국물농축액, 마늘, 카놀라유, 젖산칼슘, 쇠고기농축액, 치포틀레페퍼, 양파맛분말, 설탕, 쇠고기다시, 고춧가루, 향미증진제, 후추분, 오레가노, 바질, 파프리카추출색소, 로즈마리",145,18,8,4.4
160,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2221,오라면 컵,https://ottogi.co.kr/pds/product/2021-12-28_141411388[1].jpg,"면:소맥분(밀:호주산,미국산),변성전분,팜유(말레이시아산),정제소금,글루텐,기타 식용유지가공품,난각분말,면류첨가알카리제(산도조절제),양파엑기스,조미마늘엑기스,야채풍미액,비타민B2,녹차풍미유*스프류:설탕,조미육수분말[아미노산원액(탈지대두:인도산),옥수수가루(외국산:호주,브라질,인도 등)],효모추출조미분말,참맛장조림분말,양파시즈닝분말,포도당,진한감칠맛분,정제소금,로스팅양파분말,양지사태조미분말,육수맛조미분,후추분말,기타 식용유지가공품,칠리맛분말,혼합제제(효모추출물,해바라기유),영양강화제,향미증진제,고춧가루,칠리추출물,건미역,계란후레이크",400,59,9,14
161,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2222,리얼치즈라면 용기,https://ottogi.co.kr/pds/product/2021-04-07_663299038[1].jpg,"*면:소맥분(밀:미국산,호주산),변성전분,팜유(말레이시아산),글루텐,정제소금,기타 식용유지가공품,면류첨가알칼리제(산도조절제),마늘시즈닝,구아검,난각분말,알긴산나트륨,강황추출액,셀룰로스검,비타민B2,녹차풍미유*스프류:리얼치즈소스53.3%[체다치즈10%(뉴질랜드산),팜유(말레이시아산),크림맛분말,변성전분,정제소금],유청혼합분말,치즈혼합분말(치즈:미국산),설탕,버터체다혼합분말(치즈:미국산),정제소금,감자전분,뉴크림전지분,포도당,진한감칠맛분,버터맛시즈닝,향미증진제,잔탄검,복합양념분말,혼합야채분,야채치킨육수분말,칠리혼합추출물,감칠맛베이스,후추분말,강황,파스타,미트햄맛후레이크,건청경채,건브로콜리,건당근-밀,대두,계란,우유,쇠고기,닭고기,조개류(굴,홍합 포함) 함유-돼지고기,메밀,토마토,오징어,새우,게,고등어,땅콩 혼입 가능",480,72,10,17
162,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2223,오뚜기 해물짬뽕,https://ottogi.co.kr/pds/product/2022-05-16_106881874[36].jpg,"*면:소맥분(밀:호주산,미국산),변성전분,팜유(말레이시아산),감자전분(외국산:덴마크,프랑스,독일 등),글루텐,정제소금,난각분말,유화유지,면류첨가알칼리제(산도조절제),양파엑기스,이스트엑기스,비타민B2,녹차풍미유*스프류:해물양념분말,설탕,불맛시즈닝분말,진한감칠맛분,포도당,감칠맛베이스,정제소금,홍합농축분말,오징어농축분말,오징어찌개분말,야채볶음분말,간장베이스,해물조미분말,향미증진제,조미육수분말,고춧가루,감칠맛조미분,맛베이스,후추분말,효모조미분,로스팅양파분말,칠리추출물,참맛해물육수분말,건양배추,동결건조오징어,건양파,건당근,건미역,건목이버섯,건파밀,대두,계란,우유,쇠고기,오징어,새우,게,조개류(굴,홍합 포함) 함유돼지고기,닭고기,메밀,토마토,고등어,땅콩 혼입가능",485,82,10,13
163,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2224,GAMER'Z CUP 힐러 고기짬뽕,https://ottogi.co.kr/pds/product/2021-04-16_29812941[1].jpg,"*면:소맥분(밀:호주산),변성전분,팜유(말레이시아산),감자전분(외국산:덴마크,프랑스,독일 등),정제소금,기타 식용유지가공품,귀리식이섬유,조미마늘엑기스,글루텐,난각분말,면류첨가알칼리제(산도조절제),구아검,강황,마리골드색소,비타민D3혼합제제(아라비아검,자당,옥수수전분,가공유지,고결방지제,비타민D3,비타민E),알긴산나트륨,셀룰로스검,비타민B2,녹차풍미유 *스프류:고기짬뽕건더기{돼지고기(등심:국산),양배추(국산),목이버섯,향미유,미향),직화짬뽕소스,고기짬뽕농축액,사골엑기스,닭육수농축액,마늘,해물야채볶음소스,짬뽕양념농축액,설탕,조미육수분말,정제수,고춧가루,복합지미분,감칠맛베이스,후추분말,참맛지미분말,향미증진제,정제소금,칠리맛분말,영양강화제,결명자분말,야채조미베이스,칠리추출물,매운칠리추출물,건부추,실당근,건청경채,오징어조미후레이크,건미역",450,68,13,16
