번호,음식_링크,음식_이름,이미지_링크,원재료 및 원산지,칼로리(kcal),탄수화물(g),단백질(g),총 지방(g)
68,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2097,차돌양지 강된장양념(냉장),https://ottogi.co.kr/pds/product/2021-09-14_959725286[1].JPG,"정제수,된장[대두(외국산),소맥분(밀:미국산,호주산),천일염,밀분해농축액,주정],차돌양지(뉴질랜드산),된장[대두(외국산),천일염(호주산),주정,종국],양파퓨레,멸치엑기스,옥수수유,전분,고추장,마늘,쇠고기다시,다시마엑기스,설탕,고추분,파엑기스,표고버섯엑기스,향미증진제,마늘엑기스,식물성분해단백,후추분",125,15,7,4.1
69,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2098,오즈키친 브로콜리치즈스프(냉장) 720G,https://ottogi.co.kr/pds/product/2022-01-21_122632952[3].jpg,"정제수, 우유(국산), 브로콜리(국산), 진한요리크림(프랑스산:유크림,유화제,변성전분,펙틴,카라기난), 버터루, 양파, 혼합제제(변성전분, 설탕, 덱스트린), 스위트파머산치즈골드[자연치즈51%{체다치즈(외국산)}, 파머산치즈1%(미국산)], 시금치(국산), 체다치즈파우더(덴마크산), 까망베르치즈분말(덴마크산), 치킨파우더, 설탕, 양파맛분말, 정제소금, 브로콜리칩(중국산), 난각분말, 치자그린(치자청색소,치자황색소), 바질, 향미증진제",135,11,3,9
70,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2099,사천 마파두부양념(냉장),https://ottogi.co.kr/pds/product/2021-09-14_959725286[3].JPG,"물엿,정제수,돼지고기(국산),홍고추(국산),옥수수유[옥수수배아(외국산:미국,러시아,브라질 등)],고추장,굴소스,두반장,청주,마늘,된장,변성전분,설탕,생강,조미간장분,고추분,감칠맛베이스,정제소금,참기름,고추맛기름,후추분,쇠고기다시,효모추출물,복합아미노산,합성향료(립향),향신료",320,36,6,17
71,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2100,"진한 멸치육수로 맛을 낸 떡볶이소스 1,080g",https://ottogi.co.kr/pds/product/2020-03-23_937718882[13].jpg,"고추장[물엿,혼합양념(중국산),소맥분(밀:미국산,호주산),밀쌀,주정],설탕,물엿,,멸치육수[멸치(국산),무(국산),멸치조미분말(멸치:국산),다시마,후추분],정제수,대파(중국산),고추분,토마토페이스트,양조간장, 된장,마늘,춘장,정제소금,양파맛분말,흑후추분말,변성전분,L-글루탐산나트륨(향미증진제),향미증진제,산도조절제,파프리카추출색소",210,48,2,1
72,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2101,진한 멸치육수로 맛을 낸 떡볶이소스 180g,https://ottogi.co.kr/pds/product/2020-03-23_937718882[15].jpg,"고추장[물엿,혼합양념(중국산),소맥분(밀:미국산,호주산),밀쌀,주정],설탕,정제수,멸치육수[멸치(국산),무(국산),멸치조미분말(멸치:국산),다시마,후추분],물엿,기타과당,대파(중국산),고추분,된장,토마토페이스트,마늘,춘장,정제소금,쇠고기베이스,쇠고기다시,후추분,변성전분,L-글루탐산나트륨(향미증진제),향미증진제,파프리카추출색소",360,85,4,0.2
73,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2104,핫쵸코,https://ottogi.co.kr/pds/product/2020-03-26_505435103[5].png,"설탕, 혼합탈지분유[탈지분유(외국산), 유청(외국산)],식물성크림[폴란드산:글루코오스시럽,식물성경화유,탈지분유,유청,제이인산칼륨],코코아분말13.5%(네덜란드산),알파옥수수전분,정제소금, 이산화규소, 효소처리스테비아알러지유발물질표시:우유 함유이 제품은 쇠고기, 땅콩, 호두, 밀, 대두, 잣을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.",75,16,0,1.1
74,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2112,돼지고기 김치찌개,https://ottogi.co.kr/pds/product/2020-03-27_505455285[1].jpg,"정제수,묵은지[절임배추(배추:국산),무(국산),고춧가루(국산),멸치액젓,염장새우],두부[대두(외국산),황산칼슘,혼합제제(레시틴,탄산마그네슘,식물성유지,글리세린지방산에스테르)],돼지고기(국산),대파,마늘,파엑기스,고추분,미향,쇠고기다시,돈골엑기스,L-글루탐산나트륨(향미증진제),쌀가루,정제소금,참기름,설탕,향미증진제,청주,혼합제제(폴리인산나트륨,피로인산나트륨,메타인산나트륨)파프리카추출색소",135,9,9,7
75,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2113,프레스코 스파게티,https://ottogi.co.kr/pds/product/2022-04-28_120941217[3].jpg,원산지: 이탈리아원재료: 듀럼밀 세몰리나(밀)100%,350,70,11,3
76,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2114,프레스코 번들스파게티,https://ottogi.co.kr/pds/product/2022-04-28_120941217[5].jpg,원산지: 이탈리아원재료: 듀럼밀 세몰리나(밀)100%,350,70,11,3
77,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2115,프레스코 퀵 스파게티,https://ottogi.co.kr/pds/product/2022-04-28_120941217[7].jpg,원산지: 이탈리아원재료: 듀럼밀 세몰리나(밀)100%,350,70,11,3
78,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2116,프레스코 페투치네,https://ottogi.co.kr/pds/product/2022-04-28_120941217[9].jpg,원산지: 이탈리아원재료: 듀럼밀 세몰리나(밀)100%,350,70,11,3
79,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2117,프레스코 마카로니,https://ottogi.co.kr/pds/product/2022-04-28_120941217[11].jpg,원산지: 이탈리아원재료: 듀럼밀 세몰리나(밀)100%,350,70,11,3
80,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2118,프레스코 후실리,https://ottogi.co.kr/pds/product/2022-04-28_120941217[13].jpg,원산지: 이탈리아원재료: 듀럼밀 세몰리나(밀)100%,350,70,11,3
81,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2119,프레스코 펜네,https://ottogi.co.kr/pds/product/2022-04-28_120941217[15].jpg,원산지: 이탈리아원재료: 듀럼밀 세몰리나(밀)100%,350,70,11,3
82,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2120,생강차,https://ottogi.co.kr/pds/product/2020-03-31_286897513[31].png,"기타과당, 생강절임21.33%[생강50%(국산),설탕],설탕,정제수,생강농축액0.7%[생강(국산),고형분 60%],셀룰로스검, 카라기난, 로커스트콩검, 포도당, 염화칼륨, 산도조절제,글루코만난,올레오레진진저,구연산,슈가시럽",265,66,0,0
83,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2121,대추차,https://ottogi.co.kr/pds/product/2020-03-27_719218806[3].png,"기타과당,정제수,설탕,대추5%(국산),대추농축액2.87%[대추(국산)],셀룰로스검,카라기난,합성향료(대추향),잔탄검,젖산칼슘,구연산",265,66,0,0
84,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2122,옛날 국수 치자소면,https://ottogi.co.kr/pds/product/2022-03-21_1009000861[11].png,"밀가루(밀:호주산,미국산), 정제소금(국산),치자분말0.1%(치자황색소,덱스트린)",345,73,9,2
85,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2126,통등심  치즈돈까스,https://ottogi.co.kr/pds/product/2022-04-18_557924213[5].png,"돼지고기50%(등심:국산), 모짜렐라치즈슬라이스20%[모짜렐라치즈50%(외국산), 팜유(말레이시아산), 렌넷카제인, 박력분, 산도조절제], 정제수, 생빵가루[고소한생빵가루{밀가루(밀:미국,호주캐나다산)}, 보드람생빵가루{밀가루(밀:미국,호주,캐나다산)}], 배터믹스M[배터베이스M, 밀가루, 정제소금, 구아검, 흑후추분]",215,18,22,6
86,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2127,진진짜라,https://ottogi.co.kr/pds/product/2022-07-12_513687476[4].jpg,"*면: 소맥분(밀:호주산),감자전분(외국산:덴마크,프랑스,독일 등),팜유(말레이시아산),변성전분,글루텐,정제소금,유화유지,면류첨가알칼리제(산도조절제),양파엑기스,난각분말,감칠맛베이스,복합지미분,구아검,알긴산나트륨,셀룰로스검,비타민B2,녹차풍미유*스프류: 볶음짜장소스,참맛간짜장페이스트,올리고당,정제수,짬뽕양념농축액,해물양념소스,설탕,짬뽕향미유,양파풍미유,고춧가루,삼선짜장페이스트,진한감칠맛분,짜장시즈닝분말,짜장조미분말,참맛간장분말,향미증진제,감칠맛베이스,효모추출조미분말,영양강화제,짜장시즈닝오일,시즈닝분말,로스팅양파문발,오징어양념분말,칠리추출물,웍풍미소스,대두단백,건양배추,동결건조완두콩,계란조미후레이크,조미쇠고기맛후레이크,튀김감자다이스,건양파밀,대두,계란,쇠고기,돼지고기,닭고기,오징어,새우,게,조개류(굴,홍합포함) 함유메밀,토마토,우유,고등어,땅콩 혼입가능",525,86,12,15
87,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2128,철판뽀끼_용기,https://ottogi.co.kr/pds/product/2020-04-10_1002910728[5].jpg,"*면:소맥분(미국산,호주산),팜유(말레이시아산),변성전분,감자전분,정제소금,기타 식용유지가공품,감칠맛조미액,양조간장,면류첨가알칼리제(산도조절제),비타민B2,녹차풍미유*스프류:우스타소스[정제수,설탕,발효식초(주정,발효영양원),정제소금(국산),양조간장{양조간장원액(탈지대두:인도산),천일염(호주산)},토마토페이스트],건양배추(양배추,포도당),올리고당,양조간장,설탕,대두유,가쓰오간장소스,참맛간짜장페이스트,양파풍미유,옥수수유,변성전분,혼합야채풍미유,고기고명,건조무채,정제수,덱스트린,시즈닝분말,복합지미분,효모추출조미분말,고추맛추출기름,진한감칠맛분,생강분말,향미증진제,백후추,잔탄검밀,대두,계란,우유,쇠고기,돼지고기,닭고기,토마토,새우,조개류(굴,홍합 포함) 함유메밀,오징어,게,고등어,땅콩 혼입 가능",530,76,9,21
88,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2129,북엇국라면_용기,https://ottogi.co.kr/pds/product/2020-04-10_1002910728[9].jpg,"*면:소맥분(밀:호주산,미국산),변성전분,팜유(말레이시아산),감자전분(외국산:덴마크,프랑스,독일 등),쌀가루(국산),글루텐,정제소금,유화유지,야채풍미액,난각분말,면류첨가알칼리제(산도조절제),이스트엑기스,구아검,알긴산나트륨,셀룰로스검,비타민B2,녹차풍미유*스프류:북어해장국분말{북어분말(명태:러시아산),덱스트린,북어베이스분말(명태:러시아산),북어해장국베이스(명태:러시아산),포도당},정제소금,포도당,설탕,기타 식용유지가공품,효모추출조미분말,참맛사골양념분말,사골농축분말,유청혼합분말,혼합야채분,청양초양념분말,감자전분,진한감칠맛분,조미고추맛분말,감칠맛베이스,우동풍미분,후추분말,고소한향미분말,청양고추추출물분말,북어후레이크(명태:러시아산),건조무채,계란후레이크,건파,건조청양고추,건조링고추후레이크-밀,대두,계란,우유,쇠고기,돼지고기,오징어,조개류(굴,홍합 포함) 함유-닭고기,메밀,토마토,새우,게,고등어,땅콩 혼입 가능",425,62,10,15
89,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2130,진비빔면,https://ottogi.co.kr/pds/product/2022-03-30_358200375[1].jpg,"*면:소맥분(밀:미국산,호주산),변성전분,팜유(말레이시아산),글루텐,정제소금,귀리식이섬유,분리대두단백,면류첨가알칼리제(산도조절제), 난각분말,야채풍미액,비타민B2,녹차풍미유*스프류:설탕,태양초고추장{쌀(외국산),고추양념(중국산)},사과식초(사과:국산),농축사과과즙(사과:국산),올리고당,정제수,변성전분,타마린드양념소스,마늘,참맛매운육수분말,배농축조미액(배:국산),농축매실과즙(매실:국산),참맛지미분말,효모추출조미분말,포도당,핫레드페퍼소스,정제소금,버섯양념농축액,냉면양념장소스,무(국산),칠리추출물,산도조절제,참기름,영양강화제,겨자맛페이스트,혼합야채분,볶음참깨분말,볶음참깨,구운김,숙성마늘맛분*밀,대두,계란,우유,쇠고기,닭고기 함유*돼지고기,메밀,토마토,오징어,새우,게,고등어,땅콩,조개류(굴,홍합 포함) 혼입가능",625,99,11,22
90,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2131,오뚜기밥 고시히카리,https://ottogi.co.kr/pds/product/2021-03-22_1072758181[15].jpg,"고시히카리99.6%(배합수 제외,국산,품종:고시히카리),산도조절제",315,69,6,1.6
91,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2132,뿌셔땅 쵸코맛,https://ottogi.co.kr/pds/product/2020-05-04_984139025[1].png,"초콜렛J[설탕,가공유지(말레이시아산),유청(유청:국산),코코아분말(싱가포르산),유당],뿌셔땅면[소맥분(밀:미국산,호주산),팜유(말레이시아산),변성전분,감자전분,알파옥수수분말],달콤조청[물엿,설탕,쌀조청,마가린{팜유(말레이시아산)},한천(국산)],쌀(국산)*밀, 대두, 우유 함유",335,49,3,14
92,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2136,타바스코 스리라차,https://ottogi.co.kr/pds/product/2020-05-15_760929984[10].jpg,"적할라피뇨 파우더, 정제수, 설탕, 정제소금, 마늘분, 발효식초(주정), 잔탄검, 타바스코페퍼소스",120,27,2,0.4
93,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2137,라조장 산초,https://ottogi.co.kr/pds/product/2020-06-12_328465537[1].jpg,"카놀라유46.46%(캐나다산), 고추맛추출기름20%[대두유(외국산),고춧가루(고추:중국산93%,베트남산7%),고추씨가루(고추씨:중국산),올레오레진캪시컴,파프리카추출색소], 고추후레이크(고추:중국산), L-글루탐산나트륨(향미증진제), 정제소금, 설탕, 산초2%(중국산), 고추씨(국산), 치킨파우더, 혼합제제(올레오레진캪시컴, 대두유, 토코페롤)",690,22,4,65
94,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2138,라조장 양파,https://ottogi.co.kr/pds/product/2020-06-12_328465537[3].jpg,"카놀라유45.1%(캐나다산), 고추맛추출기름20%[대두유(외국산),고춧가루(고추;중국산93%,베트남산7%),고추씨가루(고추씨:중국산),올레오레진캪시컴,파프리카추출색소], L-글루탐산나트륨(향미증진제), 고추후레이크(고추:중국산), 구운양파칩5%(건양파:인도산), 정제소금, 설탕, 고추씨(국산), 산초1.2%(중국산), 치킨파우더, 합성향료(양파향)",700,22,4,66
95,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2139,컵누들 잔치쌀국수,https://ottogi.co.kr/pds/product/2021-12-06_585120527[5].jpg,"*면:쌀소면(베트남산:쌀가루88%, 변성전분, 정제소금, 설탕, 구아검)*스프류:멸치육수분말[멸치추출분말{멸치(국산), 훈연멸치분말{멸치(국산)}], 국수장국분말[국수장국분말베이스{멸치스프분말(멸치:국산)}, 덱스트린,가쓰오엑기스분말에프{가쓰오부시(인도네시아산)}, 멸치조미분말, 옥수수전분],덱스트린, 간장분말, 참기름, 가쓰오과립분말, 양조간장분말, 참맛다대기양념분말,후추분말, 마늘양념분말, 고춧가루, 영양강화제, 구운김, 파래김, 건조링고추후레이크, 건조호박, 쪽파후레이크, 계란후레이크*특정성분:면 중 쌀가루88%-계란,밀,대두,우유,쇠고기,조개류(굴,홍합 포함) 함유-메밀,땅콩,고등어,게,새우,돼지고기,복숭아,토마토,아황산류,호두,닭고기,오징어,조개류(전복 포함),잣 혼입가능",120,27,3,0
96,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2140,컵누들 김치쌀국수,https://ottogi.co.kr/pds/product/2021-12-06_585120527[3].jpg,"*면:쌀소면(베트남산:쌀가루88%, 변성전분, 정제소금, 설탕, 구아검)*스프류:국수장국분말[국수장국분말베이스{멸치스프분말(멸치:국산)}, 가쓰오엑기스 분말에프{가쓰오부시(인도네시아산)}], 포도당, 김치양념분{정제소금(국산), 고춧가루(중국산)}, 가쓰오과립분말, 진한감칠맛분, 정제소금, 덱스트린,간장분말, 건조김치분말, 마늘양념분말, 볶음마늘분, 감칠맛베이스, 찌개액젓분말, 참맛다대기양념분말, 고춧가루, 효모추출조미분말, 향미증진제, 설탕, 영양강화제,칠리추출물, 참기름, 건조김치, 건조호박, 쪽파후레이크, 구운김, 건조링고추후레이크",120,27,3,0
97,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2141,컵누들 얼큰쌀국수,https://ottogi.co.kr/pds/product/2021-12-06_585120527[1].jpg,"*면:쌀소면(베트남산:쌀가루88%, 변성전분, 정제소금, 백설탕, 구아검)*스프류:포도당, 정제소금(국산), 쇠고기육수분말[비프시즈닝분말{아미노산간장(탈지대두:인도산)}, 쇠고기맛분말{아미노산간장(대두:인도산)}], 설탕, 진한감칠맛분, 덱스트린, 간장분말, 김치양념분, 효모추출조미분말, 마늘양념분말,볶음마늘분, 매운고추양념분말, 참맛다대기양념분말, 청양초양념분말, 감칠맛베이스,건조김치분말, 오뚜기참치간장분말, 마늘간장조림분말, 고춧가루, 영양강화제,향미증진제, 칠리추출물, 고추맛추출기름, 청양고추추출물분말, 매운칠리추출물, 건파, 건조김치, 건조맛살어묵, 반달어묵후레이크, 쪽파후레이크, 건조꽃맛살어묵",130,29,3,0
98,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2145,아임스틱 쨈 딸기 1000g,https://ottogi.co.kr/pds/product/2020-06-26_532884985[1].jpg,"설탕, 딸기41.4%(국산), 딸기농축액1.45%(미국산, 고형분함량 65%), 아미드펙틴, 정제수, 구연산, 베리류색소, 산도조절제",50,13,0,0
99,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2146,오늘밥상 겉절이양념,https://ottogi.co.kr/pds/product/2020-07-29_150544601[1].jpg,"멸치액젓(태국산:멸치엑기스,정제소금),정제수,고추분(고추:중국산),물엿,설탕,마늘(국산),파,홍고추(국산),양파맛분말,생강(국산),볶음참깨,매실엑기스,참기름,정제소금,발효젖산",220,44,5,2.9
100,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2147,오늘밥상 된장무침양념,https://ottogi.co.kr/pds/product/2020-07-29_150544601[5].jpg,"된장[대두(외국산),소맥분(밀:미국산,호주산),천일염,밀분해농축액,주정],물엿,고추장[물엿,혼합양념(중국산),소맥분(밀:미국산,호주산),밀쌀,주정],정제수,참기름[볶음참깨분(외국산:베트남,미얀마,중국 등)],마늘,파,양조간장,멸치엑기스,변성전분,양파맛분말,정제소금,발효젖산,다시마분말,향미증진제",200,33,4,6
101,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2148,오늘밥상 파채양념,https://ottogi.co.kr/pds/product/2020-07-29_150544601[7].jpg,"원료명설탕,고추장[물엿,혼합양념(중국산),소맥분(밀:미국산,호주산),밀쌀,주정],양조간장[양조간장원액(탈지대두:인도산),천일염(호주산),기타과당,주정,굴농축액],정제수,양조식초,고추분(고추:중국산),마늘,참기름,볶음참깨,매실엑기스,정제소금,양파맛분말,향미증진제",235,42,3,6
102,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2149,삼겹살 제주식 멜젓소스 270g,https://ottogi.co.kr/pds/product/2020-07-30_150571895[1].jpg,"멸치다시마육수[멸치(국산), 멸치조미분말(멸치:국산), 마늘, 다시마, 후추분], 물엿, 멸치육젓[멸치(국산), 천일염(호주산)],멸치액젓(태국산:멸치엑기스,정제소금), 양조간장(양조간장원액, 천일염, 기타과당, 주정, 굴농축액), 마늘, 청양고추, 정제수, 화이트식초, 청주, 주정, 쌀가루, 정제소금, 고추분, 새우엑기스, 다시마분말, 생강, 산도조절제",105,21,4,0.8
103,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2151,양념치킨소스1200G,https://ottogi.co.kr/pds/product/2020-08-24_345601011[16].png,"물엿,토마토케챂[토마토페이스트(외국산),물엿,설탕,발효식초,정제소금(국산)],양파(국산),설탕,정제수,당근(국산),양조간장,마늘,변성전분,고추분,정제소금,후추분*토마토, 대두, 밀, 조개류(굴) 함유",210,52,1,0
104,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2152,경양식돈까스소스1100G,https://ottogi.co.kr/pds/product/2020-08-24_345601011[14].png,"정제수, 설탕, 토마토페이스트(중국산), 쇠고기브이용[쇠고기(뉴질랜드산),당근(중국산)], 양파퓨레(중국산), 사과퓨레, 데미글라스분말, 발효식초, 변성전분, 우스타소스, 정제소금, 리치버터, 적포도주, 비프엑기스, 건조당밀, 마늘, 흑후추분말, 천연향신료, 젖산, 합성향료(비프스프향)",117,26,1,0.6
105,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2153,홀그레인머스타드 1100g,https://ottogi.co.kr/pds/product/2020-08-24_345601011[12].png,"샐러드머스터드(미국산:식초, 머스터드, 소금, 터메릭, 파프리카), 기타과당, 정제수, 홀그레인머스터드(미국산:식초, 머스터드, 정제소금, 향신료), 양파(국산), 설탕, 연겨자(겨자:캐나다산), 발효식초, 옐로우겨자씨(캐나다산), 변성전분",140,28,3,2
106,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2154,1000아일랜드드레싱 980g,https://ottogi.co.kr/pds/product/2020-08-24_345601011[10].png,"식물성유지[외국산(아르헨티나, 미국, 중국 등)], 정제수, 스위트렐리시(미국산:미클, 설탕, 기타과당, 식초, 물엿), 토마토케챂[토마토페이스트(외국산), 물엿, 설탕, 발효식초, 정제소금(국산)], 설탕, 발효식초, 난황액, 정제소금, 잔탄검, 향신료, 우스타소스, 향미유1, 향미유2, 이디티에이칼슘이나트륨(산화방지제)",355,13,0,33
107,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2155,갈릭아이올리소스 930g,https://ottogi.co.kr/pds/product/2020-08-24_345601011[8].png,"마늘2.5%, 마늘엑기스2.5%(마늘69.5%), 구운마늘0.8%식물성유지[외국산(아르헨티나, 미국, 중국 등)], 정제수, 발효식초, 마늘(국산), 마늘엑기스(마늘:중국산), 난황액, 설탕, 구운마늘분말(마늘:국산), 홀그레인머스터드, 정제소금, 타마린드검, 천연향료(마늘향), 향미유, 식물성분해단백, 잔탄검, 젤란검, 이디티에이칼슘이나트륨(산화방지제)",620,6,1,66
108,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2157,오즈키친 떡갈비,https://ottogi.co.kr/pds/product/2022-04-26_980933916[21].jpg,"돼지고기 65.87% (국산/지방일부사용, 갈비살 43.13%), 정제수, 설탕, 대파(중국산), 양파(중국산), 마늘, 두류가공품1, 된장, 옛날조청쌀엿, 미향, 두류가공품2, 배퓨레, 참기름, 곡류가공품, 소스, 요리매실청, 정제소금, 청양고추조미분말, 아미노베이스, 양파맛분말, 감칠맛분말, 혼합제제(폴리인산나트륨,피로인산나트륨,메타인산나트륨), L-글루탐산나트륨제제[L-글루탐산나트륨(향미증진제),향미증진제], 후추분, 생강분말, 카라멜색소, 향미증진제, 월계수잎 분말",260,13,12,18
109,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2158,오즈키친 멘보샤,https://ottogi.co.kr/pds/product/2022-04-26_980933916[17].jpg,"새우살(인도네시아산,인도산), 조각빵[밀가루(밀:미국산, 호주산, 캐나다산), 쇼트닝(팜유:말레이시아산), 이스트, 정제소금, 유화제], 연육(베트남산:어육,설탕,산도조절제), 양파, 건조빵가루(밀가루,쇼트닝,포도당,이스트,정제소금), 대두유, 옥수수전분, 복합씨즈닝분말, 마늘, 정제소금, 설탕, 산도조절제, 새우엑기스분말, 향미증진제",335,17,6,27
110,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2162,아임스틱 쨈 사과 1000g,https://ottogi.co.kr/pds/product/2020-09-04_122390035[7].png,"설탕, 사과32.9%(국산), 정제수, 사과농축과즙3.2%(국산: 고형분함량 72%), 아미드펙틴, 천연향료(사과향), 비타민C, 구연산, 산도조절제",55,14,0,0
111,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2163,맛있는 오뚜기 컵밥 진한 쇠고기 미역국밥,https://ottogi.co.kr/pds/product/2023-02-02_301781936[6].jpg,"맛있는 오뚜기 컵밥 :쌀(국산), 산도조절제진한 쇠고기미역국 : 정제수,쇠고기(뉴질랜드산),볶은미역농축액[건미역(국산),옥배유(옥수수:외국산)],사골엑기스,양조간장,쇠고기육수농축액,마늘,쇠고기양념엑기스,감칠맛베이스,마늘엑기스,L-글루탐산나트륨(향미증진제),향미증진제,영양강화제,후추분진한 쇠고기미역국밥 건더기스프:볶은미역[건미역(국산),참기름(참깨:외국산)고소한참기름:참깨100%(외국산:인도,파키스탄,에티오피아 등)",350,65,12,4.8
112,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2164,맛있는 오뚜기 컵밥 황태콩나물 해장국밥,https://ottogi.co.kr/pds/product/2023-02-02_301781936[4].jpg,"맛있는 오뚜기 컵밥:쌀(국산),산도조절제황태콩나물국:정제수,콩나물(대두:중국산),볶은황태{구운황태(명태:러시아산),참기름(참깨:외국산)},L-글루탐산나트륨(향미증진제),영양강화제황태콩나물해장국밥 액상스프:정제수,대구뼈엑기스[대구엑기스베이스(대구뼈:러시아산),정제소금(국산)],북어육수분말[북어엑기스분말(북어포:러시아산),북어국물맛내기분말(북어:러시아산)],대파엑기스(대파:중국산),가쓰오부시추출물,무우즙농축액,마늘,맛다시,사골엑기스,변성전분,쇠고기농축액,감칠맛베이스,참기름,향미증진제,청양고추엑기스,후추분,잔탄검황태콩나물해장국밥건더기스프:동결건조두부(중국산),동결건조파(중국산),건조링고추(중국산)",310,59,10,3.8
113,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2165,맛있는 오뚜기 컵밥 수원식 갈비탕밥,https://ottogi.co.kr/pds/product/2020-09-16_113033486[29].jpg,"맛있는 오뚜기 컵밥:쌀(국산),산도조절제진한 수원식 갈비탕:정제수,쇠고기(호주산),무(국산),표고버섯(중국산),마늘,무우즙농축액,양지국물농축액,L-글루탐산나트륨(향미증진제),정제소금,미향,대추,인삼페이스트,후추분,향미증진제,혼합제제(폴리인산나트륨,피로인산나트륨,메타인산나트륨),생각파 고명:동결건조파(중국산:파,포도당)",330,61,12,4.4
